#{"t_start": 1732006326.2208889, "env_id": null}
r,l,t,level
155.378494,2909,305920.847439,7
20.840122,2626,306007.070975,7
-501.125903,4347,306147.3532,7
605.593507,4334,306304.828085,7
297.602371,6181,306530.117863,7
366.046986,5307,306721.735146,7
638.307345,4173,306873.317541,7
785.56881,3260,306992.102669,7
447.744052,4673,307157.83835,7
568.254264,5187,307341.467302,7
2369.869547,9160,307750.16775,7
1098.102052,6005,307995.185856,7
1596.470954,12378,308812.466825,7
1151.479385,12135,309701.195314,7
899.326249,12617,310617.40474,7
1497.595561,12584,311531.892302,7
1379.106693,8416,312149.277892,7
381.597773,1008,312223.2076,7
857.534432,3903,312509.291888,7
236.929429,1338,312604.712223,7
99.16123,3244,312834.657273,7
-382.316486,3751,313100.834609,7
-188.191373,2982,313310.452075,7
389.362261,6091,313748.893229,7
205.567378,7293,314273.632279,7
-5.472363,2386,314442.651279,7
583.394757,4672,314776.211563,7
379.214475,6819,315164.445291,7
333.885215,6222,315384.723906,7
524.911699,4483,315550.174033,7
2258.136926,9124,315942.545861,7
1297.373331,7616,316246.210993,7
291.519414,18514,316997.413902,7
1410.382561,9334,317383.039888,7
737.235261,10012,317765.866339,7
1480.515784,11048,318205.490237,7
368.588112,11037,318646.23691,7
317.364483,1547,318703.59463,7
880.800246,3549,318847.588522,7
268.542029,1589,318902.527259,7
173.236767,2693,318993.465905,7
211.669445,1841,319053.648682,7
135.757526,2129,319122.553952,7
419.120908,5785,319323.091054,7
540.517978,4180,319488.756015,7
482.122609,4725,319680.119401,7
53.082694,5524,319884.347764,7
643.707309,4510,320061.023682,7
466.440822,5518,320262.328481,7
391.346235,5430,320468.285712,7
2454.406929,8465,320851.232382,7
1118.622771,9628,321488.301639,7
1797.120323,11374,322272.692357,7
1729.533681,6435,322725.405056,7
1230.429587,15271,323883.786605,7
1116.860456,14380,325202.839308,7
789.519274,7536,326156.191183,7
292.54364,1752,326366.079842,7
870.411101,3754,326799.067002,7
293.015162,1369,326958.702221,7
280.215543,1541,327137.89151,7
179.379429,1951,327366.158547,7
23.261301,1883,327587.333566,7
113.493429,9230,328662.384948,7
635.53642,3830,329111.570035,7
601.055553,4416,329629.291219,7
421.63027,4687,330180.166097,7
496.602165,6338,330926.668854,7
489.941554,4992,331516.365598,7
416.120301,6829,332323.096007,7
2498.624911,8100,333262.515057,7
265.079829,2848,333596.12391,7
1175.449357,13424,335155.102374,7
1664.698366,6720,335910.782122,7
1462.65431,9499,336774.396858,7
1259.133471,10780,337602.287654,7
-324.679441,17875,338981.801929,7
229.511632,1899,339126.314359,7
992.450104,2610,339327.879668,7
286.941521,1413,339434.388821,7
254.615162,1873,339575.399721,7
-274.791427,4465,339908.608955,7
-46.251623,3090,340139.774914,7
377.457124,6659,340645.217201,7
541.781196,4645,340996.592611,7
434.163095,5551,341417.338696,7
653.964756,4204,341736.52292,7
-159.253145,8460,342380.614856,7
534.156985,4652,342733.271064,7
610.232563,3992,343035.300353,7
2179.507678,11450,343927.629938,7
215.456125,22847,345680.31958,7
755.343815,15791,346893.401477,7
1122.600591,11444,347776.349301,7
1097.17115,7693,348361.723104,7
1310.626474,14322,349454.951163,7
451.188591,10119,350236.685385,7
236.257807,2254,350407.91802,7
767.402624,4149,350727.827057,7
243.784536,1804,350863.932214,7
175.800568,2672,351064.917085,7
-34.150081,2957,351286.046481,7
-55.85363,4437,351616.691295,7
310.485916,5636,352041.248372,7
522.74084,4902,352412.789609,7
238.144237,6026,352867.403496,7
535.031108,5108,353254.476414,7
689.883186,4426,353592.969171,7
498.11956,4378,353924.618939,7
512.371364,4879,354295.198387,7
2242.500387,9654,355049.484087,7
597.091446,20840,356655.232391,7
1611.025391,13218,357674.989742,7
1369.552608,9014,358373.869709,7
1192.344399,10173,359153.264328,7
1411.565822,14318,360255.712365,7
463.098955,10416,361061.74187,7
297.91618,1884,361205.259031,7
967.738532,2816,361422.789462,7
282.21403,1487,361534.971883,7
194.724917,2297,361708.189981,7
47.864007,2524,361897.402848,7
-37.907366,1957,362043.73826,7
557.019499,4421,362379.427614,7
419.163805,5906,362827.252042,7
368.106845,5470,363242.612323,7
452.841725,6132,363708.943366,7
636.660989,4893,364083.138426,7
328.728665,4210,364403.255979,7
562.263147,5348,364808.576676,7
1723.604225,11675,365709.822906,7
-190.548331,1919,365858.885645,7
1159.191463,17296,367183.859197,7
996.990441,10554,367998.350478,7
189.356273,5395,368410.555927,7
1329.188339,14226,369500.287685,7
